name,region,year,population,Deaths,income,lifeExpectancy
East of England,other conditions,1990,15998.53701,196.5780025,10927.07149,5071.466701
East of England,Cardiovascular diseases,1991,4848.076861,275.4767472,329.7733876,4518.303509
East of England,Neoplasms,1991,4063.816965,176.4284548,156.4625906,3907.354392
East of England,other conditions,1991,15858.06256,194.2968941,10941.51402,4916.549725
East of England,Cardiovascular diseases,1992,4642.637495,265.1830842,323.5756551,4319.061875
East of England,Neoplasms,1992,3950.787862,172.6110879,157.5051919,3793.282687
East of England,other conditions,1992,15674.09194,190.6102668,10954.09229,4720.000835
East of England,Cardiovascular diseases,1993,4572.99578,261.913513,317.9275127,4255.068301
East of England,Neoplasms,1993,3955.597462,172.6120167,162.3812162,3793.216263
East of England,other conditions,1993,15734.90606,195.4197249,10965.33599,4769.571259
East of England,Cardiovascular diseases,1994,4346.940611,249.2534743,313.3320426,4033.608602
East of England,Neoplasms,1994,3869.240497,168.7645559,162.548048,3706.692466
East of England,other conditions,1994,15707.7673,194.0038414,10975.14544,4732.623042
East of England,Cardiovascular diseases,1995,4262.063465,244.8636273,310.0418274,3952.021671
East of England,Neoplasms,1995,3861.552083,168.3332945,166.1031076,3695.448993
East of England,other conditions,1995,15719.65628,196.6481912,10974.3459,4745.311569
East of England,Cardiovascular diseases,1996,4104.037732,235.9140718,307.4322771,3796.605488
East of England,Neoplasms,1996,3773.547544,164.9140434,166.108119,3607.439443
East of England,other conditions,1996,15684.58219,195.6305825,10989.72902,4694.854353
East of England,Cardiovascular diseases,1997,3931.017515,226.0462061,304.5897371,3626.427811
East of England,Neoplasms,1997,3690.314068,161.6083126,166.2485107,3524.065575
East of England,other conditions,1997,15644.62548,194.5032004,11008.30881,4636.317851
East of England,Cardiovascular diseases,1998,3839.318514,221.7172917,301.4917309,3537.826816
East of England,Neoplasms,1998,3688.199546,161.8712111,169.784575,3518.414989
East of England,other conditions,1998,15685.09791,195.8931043,11029.53623,4655.562874
East of England,Cardiovascular diseases,1999,3699.973,214.2770851,298.3677358,3401.605297
East of England,Neoplasms,1999,3618.036133,159.9018955,170.5673707,3447.468781
East of England,other conditions,1999,15626.73377,195.0904782,11046.53789,4580.197075
East of England,Cardiovascular diseases,2000,3564.618659,206.01456,295.0946909,3269.524
